Time:	Direct:	Amplified:
20846	25.069946	25.118347
20946	25.069946	25.109558
21046	25.069946	25.109558
21146	25.069946	25.100739
21263	25.069946	25.09195
21363	25.069946	25.08316
21463	25.069946	25.07434
21563	25.069946	25.07434
21679	25.069946	25.065521
21780	24.981903	25.056732
21880	24.981903	25.047913
21995	24.981903	25.047913
22096	24.981903	25.039124
22196	24.981903	25.030334
22297	24.981903	25.030334
22413	24.981903	25.021545
22513	24.981903	25.021545
22613	24.981903	25.012726
22729	24.981903	25.003906
22829	24.981903	24.995117
22930	24.981903	24.995117
23030	24.981903	24.986328
23146	24.981903	24.97754
23246	24.981903	24.97754
23346	24.981903	24.96872
23446	24.893982	24.96872
23546	24.893982	24.95993
23662	24.893982	24.95111
23764	24.893982	24.95111
23880	24.981903	24.942322
23997	24.893982	24.933533
24113	24.893982	24.933533
24213	24.893982	24.924744
24313	24.893982	24.924744
24413	24.893982	24.924744
24513	24.893982	24.915955
24613	24.893982	24.907135
24713	24.893982	24.907135
24813	24.893982	24.898346
24913	24.893982	24.898346
25013	24.893982	24.898346
25114	24.893982	24.889557
25229	24.893982	24.889557
25330	24.893982	24.880768
25430	24.80606	24.871979
25530	24.893982	24.871979
25630	24.893982	24.86319
25730	24.80606	24.86319
25830	24.80606	24.8544
25946	24.80606	24.8544
26046	24.80606	24.8544
26146	24.80606	24.845612
26247	24.80606	24.836823
26363	24.80606	24.836823
26463	24.80606	24.836823
26564	24.80606	24.828033
26680	24.80606	24.828033
26780	24.80606	24.819244
26880	24.80606	24.819244
26980	24.80606	24.819244
27097	24.80606	24.810455
27213	24.80606	24.810455
27314	24.80606	24.801666
27430	24.80606	24.801666
27546	24.80606	24.792877
27646	24.80606	24.792877
27747	24.7182	24.792877
27863	24.7182	24.784088
27963	24.7182	24.784088
28064	24.7182	24.7753
28180	24.7182	24.7753
28280	24.7182	24.7753
28380	24.7182	24.76651
28480	24.7182	24.76651
28597	24.7182	24.75772
28713	24.7182	24.75772
28813	24.7182	24.75772
28913	24.7182	24.748962
29013	24.7182	24.748962
29114	24.7182	24.748962
29214	24.7182	24.740143
29330	24.7182	24.740143
29430	24.7182	24.740143
29530	24.7182	24.740143
29630	24.7182	24.731384
29730	24.7182	24.731384
29830	24.7182	24.731384
29931	24.7182	24.722595
30046	24.7182	24.722595
30146	24.7182	24.722595
30247	24.630402	24.713806
30348	24.7182	24.713806
30464	24.7182	24.713806
30581	24.7182	24.705017
30697	24.7182	24.705017
30797	24.7182	24.705017
30914	24.630402	24.696259
31031	24.630402	24.696259
31148	24.630402	24.696259
31264	24.630402	24.696259
31364	24.630402	24.696259
31464	24.630402	24.68747
31564	24.630402	24.68747
31664	24.630402	24.67871
31764	24.630402	24.67871
31864	24.630402	24.67871
31980	24.630402	24.67871
32081	24.630402	24.669891
32197	24.630402	24.669891
32314	24.630402	24.669891
32414	24.630402	24.661133
32531	24.630402	24.661133
32631	24.630402	24.661133
32747	24.630402	24.661133
32847	24.630402	24.661133
32948	24.630402	24.652344
33064	24.630402	24.652344
33164	24.630402	24.652344
33264	24.630402	24.652344
33365	24.630402	24.643585
33469	24.630402	24.643585
33569	24.630402	24.643585
33670	24.630402	24.643585
33786	24.630402	24.634796
33886	24.630402	24.634796
33986	24.630402	24.634796
34087	24.542633	24.634796
34202	24.630402	24.634796
34303	24.630402	24.626007
34404	24.630402	24.626007
34504	24.630402	24.626007
34620	24.542633	24.626007
34720	24.630402	24.626007
34820	24.542633	24.617218
34936	24.630402	24.617218
35036	24.542633	24.617218
35137	24.542633	24.617218
35253	24.542633	24.60846
35369	24.630402	24.60846
35469	24.630402	24.60846
35570	24.630402	24.60846
35686	24.542633	24.60846
35787	24.542633	24.59967
35904	24.542633	24.59967
36004	24.542633	24.59967
36119	24.630402	24.59967
36220	24.542633	24.59967
36320	24.542633	24.590912
36436	24.542633	24.590912
36537	24.542633	24.590912
36653	24.542633	24.590912
36753	24.542633	24.590912
36853	24.542633	24.590912
36954	24.542633	24.590912
37054	24.542633	24.582123
37170	24.542633	24.582123
37270	24.542633	24.582123
